uniprot_id,pdb_id,accession,all_goa_terms,chain_id
EHMT2_HUMAN,2O8J,Q96KQ7,"GO:0000122, GO:0000785, GO:0001222, GO:0002039, GO:0005634, GO:0005654, GO:0006275, GO:0009267, GO:0016279, GO:0016607, GO:0018027, GO:0030261, GO:0070742, GO:0140189, GO:0140759, GO:1990841",A
EHPR_ENTAG,3SK1,Q8GPH6,"GO:0042803, GO:0043177, GO:0046677",A
EI2BA_HUMAN,3ECS,Q14232,"GO:0002183, GO:0005085, GO:0005737, GO:0005829, GO:0005851, GO:0005886, GO:0006413, GO:0014003, GO:0016020, GO:0042802, GO:0050852",A
EI2BA_SCHPO,5B04,Q9USP0,"GO:0002183, GO:0003743, GO:0005085, GO:0005851, GO:1904262",A
EI2BB_HUMAN,8TQO,P49770,"GO:0001541, GO:0002183, GO:0005085, GO:0005524, GO:0005525, GO:0005737, GO:0005829, GO:0005851, GO:0006413, GO:0006446, GO:0007417, GO:0014003, GO:0042552, GO:0050852",D
EI2BE_HUMAN,3JUI,Q13144,"GO:0001541, GO:0002183, GO:0005085, GO:0005737, GO:0005829, GO:0005851, GO:0006413, GO:0009408, GO:0014002, GO:0014003, GO:0034976, GO:0042552, GO:0048708, GO:0050852",A
EI2BE_YEAST,1PAQ,P32501,"GO:0003743, GO:0005085, GO:0005851, GO:0006446, GO:0032045",A
EIBD_ECOLX,2XQH,Q9MCI8,"GO:0042802, GO:0046819",A
EIF1A_HUMAN,2DGY,Q8N9N8,"GO:0005654, GO:0005829, GO:0043231",A
EIF1_HUMAN,2IF1,P41567,"GO:0003743, GO:0005634, GO:0005737, GO:0006413, GO:0006446, GO:0008135, GO:0016282, GO:0033290, GO:0043024, GO:0043614",A
EIF2A_HUMAN,8DYS,Q9BY44,"GO:0000049, GO:0003743, GO:0005737, GO:0005850, GO:0006413, GO:0006417, GO:0042255, GO:0043022",A
EIF2D_HUMAN,5OA9,P41214,"GO:0001731, GO:0003743, GO:0005737, GO:0005829, GO:0006886, GO:0016604, GO:0032790, GO:0038023, GO:0075522",A
EIF3A_HUMAN,6YBT,Q14152,"GO:0001732, GO:0003723, GO:0005654, GO:0005730, GO:0005829, GO:0005852, GO:0006413, GO:0075522, GO:0075525",u
EIF3A_YEAST,4K51,P38249,"GO:0000131, GO:0002188, GO:0003743, GO:0005852, GO:0006413, GO:0010494, GO:0043614",A
EIF3B_HUMAN,2NLW,P55884,"GO:0003723, GO:0003743, GO:0005829, GO:0005852, GO:0006413, GO:0006446, GO:0010494, GO:0060090, GO:0075522, GO:0075525",A
EIF3B_YEAST,3NS5,P06103,"GO:0002183, GO:0003743, GO:0005852, GO:0006413, GO:0010494, GO:0033290, GO:0042802, GO:0043614",A
EIF3C_YEAST,5H7U,P32497,"GO:0003743, GO:0005737, GO:0005852, GO:0006413, GO:0010494, GO:0031369, GO:0043614",A
EIF3D_NASVI,5K4B,K7IM66,GO:0098808,A
EIF3E_HUMAN,3J8B,P60228,"GO:0000184, GO:0003743, GO:0005634, GO:0005737, GO:0005829, GO:0005852, GO:0006413, GO:0045727, GO:1902416",E
EIF3G_HUMAN,2CQ0,O75821,"GO:0003723, GO:0005737, GO:0005829, GO:0005852, GO:0006413, GO:0075525",A
EIF3I_YEAST,5A5U,P40217,"GO:0002183, GO:0002188, GO:0003743, GO:0005852, GO:0006413, GO:0043614",I
EIF3J_HUMAN,2KRB,O75822,"GO:0005829, GO:0005852, GO:0006413, GO:0042802",B
EIF3K_HUMAN,1RZ4,Q9UBQ5,"GO:0005829, GO:0005852, GO:0006413",A
EIGER_DROME,6ZT0,Q8MUJ1,"GO:0002347, GO:0005102, GO:0005615, GO:0005886, GO:0006915, GO:0006955, GO:0014009, GO:0030335, GO:0032813, GO:0033209, GO:0034198, GO:0035006, GO:0040015, GO:0042060, GO:0043065, GO:0043068, GO:0043652, GO:0045087, GO:0045167, GO:0045176, GO:0046330, GO:0048018, GO:0050829, GO:0070050, GO:1900074, GO:1903427, GO:1904058, GO:1904801, GO:2000379",A
EIL3_ARATH,1WIJ,O23116,"GO:0000976, GO:0003677, GO:0006355, GO:0009873, GO:0009970, GO:0042762",A
EIN3_ARATH,4ZDS,O24606,"GO:0000976, GO:0001666, GO:0003677, GO:0003682, GO:0003700, GO:0005634, GO:0006355, GO:0009723, GO:0009873, GO:0010182, GO:0019900, GO:0040029, GO:0042393, GO:0042742, GO:2000082",A
EIPB_BRUA2,6NTR,Q2YRJ0,"GO:0042597, GO:0043163",A
EIS_MYCTU,3R1K,P9WFK7,"GO:0005829, GO:0008080, GO:0030649, GO:0033661, GO:0034069, GO:0042802, GO:0051701, GO:0052032, GO:0052040, GO:0052041, GO:0052167",A
EIZFM_STRCO,3DBG,Q9K498,"GO:0004497, GO:0005829, GO:0010333, GO:0010334, GO:0017000, GO:0042181, GO:0051762",A
EL5_ORYSJ,1IYM,Q9LRB7,"GO:0004842, GO:0005886, GO:0016567, GO:0048364, GO:0051301",A
ELAF_HUMAN,1FLE,P19957,"GO:0001533, GO:0004866, GO:0005576, GO:0005829, GO:0018149, GO:0030280, GO:0031012, GO:0070268",I
ELAS_PSEAE,1EZM,P14756,"GO:0004175, GO:0006508, GO:0015628, GO:0043952, GO:0044010, GO:0071978",A
ELAV1_HUMAN,3HI9,Q15717,"GO:0003723, GO:0003725, GO:0003729, GO:0003730, GO:0005634, GO:0005654, GO:0005737, GO:0005829, GO:0019901, GO:0035198, GO:0035925, GO:0042803, GO:0045727, GO:0048255, GO:0051260, GO:0060965, GO:0070935",A
ELAV3_MOUSE,1D8Z,Q60900,GO:0035925,A
ELAV4_HUMAN,1FXL,P26378,"GO:0003730, GO:0006396, GO:0006397, GO:0008143, GO:0035925, GO:0070935, GO:0097158, GO:1905870",A
ELBA1_DROME,4X0G,Q9VR17,"GO:0001700, GO:0005634, GO:0005677, GO:0033696, GO:0043035, GO:0043565",A
ELBB_ECOLI,1OY1,P0ABU5,"GO:0005829, GO:0008299, GO:0045828",A
ELBP_ECOLX,1DJR,P32890,GO:0031640,D
ELF3_HUMAN,2E8P,P78545,"GO:0001228, GO:0003700, GO:0005654, GO:0005794, GO:0005829, GO:0006954, GO:0045892, GO:0045944, GO:1990837",A
ELF3_MOUSE,3JTG,Q3UPW2,"GO:0000978, GO:0001228, GO:0001824, GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0009653, GO:0030198, GO:0045944, GO:0060056",A
ELF5_HUMAN,1WWX,Q9UKW6,GO:1990837,A
ELIB_PHYCI,1LJP,P15569,GO:0001907,A
ELIB_PHYCR,1BEG,P15570,GO:0001907,A
ELIC_DICCH,2VL0,P0C7B7,GO:0042802,A
ELK1_HUMAN,1DUX,P19419,"GO:0000976, GO:0000978, GO:0000981, GO:0001228, GO:0003700, GO:0005634, GO:0005654, GO:0045893, GO:0045944, GO:0061629, GO:1990837",C
ELK4_HUMAN,1BC7,P28324,"GO:0000122, GO:0000978, GO:0001228, GO:0003677, GO:0003682, GO:0005654, GO:0005829, GO:0045944, GO:1990837",C
ELL2_HUMAN,2E5N,O00472,"GO:0005654, GO:0006368, GO:0008023, GO:0042795",A
ELL_HUMAN,2DOA,P55199,"GO:0000791, GO:0005654, GO:0005829, GO:0006368, GO:0008023, GO:0015030, GO:0016604, GO:0016607, GO:0019902, GO:0032786, GO:0032968, GO:0035363, GO:0042795, GO:0042796, GO:0045945",A
ELMO1_HUMAN,2RQR,Q92556,"GO:0005737, GO:0005829, GO:0005886, GO:0006911, GO:0016601, GO:0017124, GO:0030036, GO:0032045, GO:0048870",A
ELMO2_HUMAN,6IDX,Q96JJ3,"GO:0005829, GO:0016020, GO:0030971, GO:0060326",A
ELNE_HUMAN,1B0F,P08246,"GO:0000122, GO:0002020, GO:0002812, GO:0003714, GO:0004175, GO:0004252, GO:0005576, GO:0005615, GO:0005737, GO:0005794, GO:0005829, GO:0006508, GO:0008201, GO:0008233, GO:0009411, GO:0009986, GO:0017053, GO:0019955, GO:0022617, GO:0030141, GO:0032682, GO:0032717, GO:0032757, GO:0035578, GO:0035580, GO:0042742, GO:0043231, GO:0048661, GO:0070269, GO:0070945",A
ELOA1_HUMAN,4HFX,Q14241,"GO:0005654, GO:0006357, GO:0006367, GO:0070449",A
ELOB_HUMAN,2C9W,Q15370,"GO:0001222, GO:0005654, GO:0005829, GO:0006367, GO:0006368, GO:0031462, GO:0031466, GO:0031625, GO:0065003, GO:0070449, GO:0140627, GO:0140958",B
ELOC_MOUSE,2FNJ,P83940,"GO:0005829, GO:0031466, GO:0070449",C
ELOC_YEAST,1HV2,Q03071,"GO:0000113, GO:0006511, GO:0009411, GO:0031463, GO:0070449, GO:0070911",A
ELOV7_HUMAN,6Y7F,A1L3X0,"GO:0005783, GO:0009922, GO:0019367, GO:0034626, GO:0035338, GO:0042761",A
ELP1_HUMAN,5CQR,O95163,"GO:0005737, GO:0005829, GO:0033588",A
ELP1_MOUSE,8AVG,Q7TT37,"GO:0002098, GO:0005737",A
ELP1_YEAST,5CQS,Q06706,"GO:0000049, GO:0002098, GO:0005634, GO:0005654, GO:0005737, GO:0006357, GO:0033588, GO:0042802",A
ELP2_HUMAN,8PTX,Q6IA86,"GO:0005654, GO:0005829, GO:0006357, GO:0006368, GO:0008023, GO:0033588",B
ELP2_YEAST,4XFV,P42935,"GO:0002098, GO:0005634, GO:0005654, GO:0005737, GO:0006357, GO:0008017, GO:0032447, GO:0033588",A
ELP3_DEHMC,5L7L,A0A1C7D1B7,"GO:0002098, GO:0051391, GO:0051536, GO:1904047",A
ELP3_METIM,6IA8,D5VRB9,"GO:0002098, GO:0051391, GO:0106261, GO:1904047",A
ELP4_YEAST,4A8J,Q02884,"GO:0002098, GO:0005654, GO:0006357, GO:0033588, GO:0042802",A
ELYS_HALRU,1LIS,P04552,"GO:0007338, GO:0043160",A
ELYS_MOUSE,4I0O,Q8CJF7,"GO:0005737, GO:0016363, GO:0030097",A
EM55_HUMAN,2EJY,Q00013,"GO:0004385, GO:0005886, GO:0007165, GO:0034451",A
EMAL1_HUMAN,4CI8,O00423,"GO:0005874, GO:0005875, GO:0007420, GO:0008017, GO:0015631",A
EMAL2_HUMAN,4CGB,O95834,"GO:0005875, GO:0007601, GO:0007605, GO:0008017, GO:0010968, GO:0015631, GO:0031115",
EMAL4_HUMAN,4CGC,Q9HC35,"GO:0005737, GO:0005815, GO:0005829, GO:0005874, GO:0005929, GO:0007080, GO:0008608, GO:0015630, GO:0030496, GO:0033011, GO:0043014, GO:0045171, GO:0048487, GO:0072686, GO:0097227, GO:0097228, GO:0120238",A
EMBA_MYCTU,7BVF,P9WNL9,"GO:0052636, GO:0071766",A
EMBC_MYCTU,3PTY,P9WNL5,"GO:0009247, GO:0052636",A
EMBR_MYCTU,2FEZ,P9WGJ9,"GO:0003677, GO:0003924, GO:0016887, GO:0045893",A
EMC10_HUMAN,6WW7,Q5UCC4,"GO:0001938, GO:0005576, GO:0005789, GO:0016020, GO:0045050, GO:0045766, GO:0071816, GO:0072546",I
EMC1_YEAST,6WB9,P25574,"GO:0006644, GO:0015914, GO:0045050, GO:0072546",1
EMC2_HUMAN,6Y4L,Q15006,"GO:0005737, GO:0005783, GO:0005789, GO:0042406, GO:0045050, GO:0071816, GO:0072546",A
EMD_HUMAN,1JEI,P50402,"GO:0003779, GO:0005635, GO:0005637, GO:0005640, GO:0005654, GO:0005737, GO:0005783, GO:0005829, GO:0006936, GO:0007517, GO:0031965, GO:0046827, GO:0048147, GO:0048487, GO:0060828, GO:0071363, GO:0071763, GO:0090090, GO:1990000",A
EME1_HUMAN,2ZIU,Q96AY2,"GO:0000228, GO:0003677, GO:0005654, GO:0006302, GO:0031297, GO:0048476, GO:0071140, GO:0072429, GO:1905347",B
EMIL1_HUMAN,2KA3,Q9Y6C2,"GO:0005576, GO:0005615, GO:0007155, GO:0007160, GO:0016477, GO:0031012, GO:0034668, GO:0042802, GO:0060090, GO:0062023, GO:0098640, GO:1900426, GO:1990971",A
EMP46_YEAST,2A6V,Q12396,"GO:0000139, GO:0006888, GO:0030134, GO:0030246",A
EMP47_YEAST,2A6Y,P43555,"GO:0000139, GO:0005789, GO:0006888, GO:0030134, GO:0097367",A
EMRD_ECOLI,2GFP,P31442,"GO:0005886, GO:1990961",A
EMRE_ECOLI,2I68,P23895,"GO:0005886, GO:0006805, GO:0006970, GO:0006974, GO:0009410, GO:0015199, GO:0015220, GO:0015297, GO:0015871, GO:0016020, GO:0022857, GO:0031460, GO:0042802, GO:0042908, GO:0042910, GO:0071466, GO:1990207, GO:1990961",A
EMRE_HUMAN,6K7X,Q9H4I9,"GO:0005654, GO:0005739, GO:0005743, GO:0005759, GO:0006851, GO:0030674, GO:0036444, GO:0051560, GO:0072732, GO:0099103, GO:1990246",E
EMSY_HUMAN,1UTU,Q7Z589,GO:0005654,A
EMTA_ECOLI,2Y8P,P0C960,"GO:0008932, GO:0008933, GO:0051301",A
ENA_EUBBA,2VUN,Q0QLE9,"GO:0043792, GO:1901848",A
ENAH_HUMAN,2IYB,Q8N8S7,"GO:0005829, GO:0005886, GO:0005925, GO:0050699",A
ENAH_MOUSE,1EVH,Q03173,"GO:0001725, GO:0001843, GO:0005522, GO:0005829, GO:0005925, GO:0007015, GO:0007411, GO:0008154, GO:0015629, GO:0017124, GO:0030027, GO:0030036, GO:0030175, GO:0043005, GO:0070358, GO:1990830",A
ENCAP_BACTR,6NJ8,A0A0F5HPP7,GO:0140737,A
ENCAP_BRELN,7BCV,Q45296,GO:0140737,A
ENCAP_MYCTU,7P1T,I6WZG6,GO:0140737,A
ENCAP_MYXXD,4PT2,Q1D6H4,GO:0140737,A
ENCAP_THEMA,3DKT,Q9WZP2,GO:0140737,A
ENCB_MYXXD,7S5C,Q1D6H3,GO:0140737,A
ENCC_MYXXD,7S8T,Q1D3Y8,GO:0140737,A
ENCD_MYXXD,8VJN,Q1D9P3,GO:0140737,A
ENCP2_SYNE7,6X8M,Q55032,GO:0140737,A
END3_ECOLI,2ABK,P0AB83,"GO:0000703, GO:0003906, GO:0004844, GO:0006285, GO:0034644, GO:0051539, GO:0097510",A
END4_ECOLI,1QTW,P0A6C1,"GO:0003906, GO:0004519, GO:0005829, GO:0006281, GO:0008081, GO:0008270, GO:0008296, GO:0016791",A
END5_BPT4,1ENI,P04418,"GO:0000704, GO:0003906",A
END7_BPT4,1E7D,P13340,GO:0004519,A
END8_ECOLI,1K3W,P50465,"GO:0000703, GO:0003684, GO:0003906, GO:0006284, GO:0008270",A
ENDAI_BACSU,4ME7,P96621,GO:0042802,E
ENDO2_ARATH,3W52,Q9C9G4,"GO:0000014, GO:0004519, GO:0004521, GO:0006308, GO:0043765, GO:1990238",A
ENDO_BPT7,1FZR,P00641,"GO:0008821, GO:1990238",A
ENDOS_STRP1,4NUY,Q99Y92,"GO:0005509, GO:0033925, GO:0042783, GO:0043655, GO:0090729",A
ENDOU_HUMAN,9FTW,P21128,"GO:0003723, GO:0004521, GO:0005576, GO:0005615, GO:0005737, GO:0005886, GO:0006508, GO:0007565, GO:0008236, GO:0016441, GO:0030145, GO:0050995",A
ENDOV_HUMAN,4NSP,Q8N8Q3,"GO:0003677, GO:0003727, GO:0005730, GO:0005737, GO:0010494, GO:0016891",A
ENDOV_MOUSE,5AOY,Q8C9A2,"GO:0000287, GO:0016888",A
ENDS2_STRP9,6E58,T1WGN1,"GO:0005509, GO:0033925, GO:0042783",A
ENDUA_XENLA,2C1W,Q8JFY9,"GO:0004521, GO:0005634, GO:0030145, GO:0043144",A
ENG1_ACET2,6FOP,A3DD66,"GO:0000272, GO:0000287, GO:0005509, GO:0016151, GO:0042973",A
ENG1_HALH5,1W9S,Q9KG76,"GO:0000272, GO:0042973",A
ENG1_RHIMI,4K35,A0A023I7E1,"GO:0000272, GO:0042973",A
ENGB_ECOLI,1PUI,P0A6P7,"GO:0005525, GO:0005829",A
ENL_HUMAN,6HPW,Q03111,"GO:0001650, GO:0005654, GO:0005829, GO:0008023",A
ENLYS_BPDPK,3BKH,Q8SD18,"GO:0008933, GO:0044659",A
ENLYS_BPG15,2MK5,D6QY02,GO:0044659,A
ENLYS_BPPGK,4CSH,Q6Y7T6,"GO:0001897, GO:0008233, GO:0008745",A
ENLYS_BPT4,102L,P00720,GO:0003796,A
ENLYS_BPT5,2MXZ,Q6QGP7,"GO:0008233, GO:0044659",A
ENLYS_BPT7,1LBA,P00806,"GO:0008745, GO:0032897, GO:0044659",A
ENLYS_LAMBD,1AM7,P03706,"GO:0003796, GO:0008933, GO:0044659",A
ENO1_CANAL,7V67,P30575,"GO:0003810, GO:0004634, GO:0005576, GO:0005634, GO:0005829, GO:0005886, GO:0006096, GO:0009277, GO:0009897, GO:0009986, GO:0016020, GO:0030445, GO:0030446, GO:0030447, GO:0030985, GO:0036180, GO:0042730, GO:0044409, GO:0052553, GO:0062040, GO:0071852, GO:1903561",A
ENO1_YEAST,1EBG,P00924,"GO:0000015, GO:0000324, GO:0004634, GO:0005739, GO:0006096, GO:0032889, GO:1904408",A
ENOA_HUMAN,2PSN,P06733,"GO:0000015, GO:0000122, GO:0000977, GO:0001222, GO:0001227, GO:0003714, GO:0004634, GO:0005640, GO:0005737, GO:0005829, GO:0005886, GO:0005938, GO:0006094, GO:0009615, GO:0009986, GO:0010756, GO:0016020, GO:0030308, GO:0042803, GO:0045892, GO:0045933, GO:0051020, GO:0061621, GO:1903298, GO:2001171",A
ENO_ASPFU,7RHV,Q96X30,GO:0019863,A
ENOB_HUMAN,2XSX,P13929,"GO:0005829, GO:0005886, GO:0006094, GO:0016020, GO:0061621",A
ENO_DROME,5WRO,P15007,GO:0042593,A
ENO_ECOLI,1E9I,P0A6P9,"GO:0000015, GO:0000287, GO:0004634, GO:0005829, GO:0005856, GO:0006096, GO:0016020, GO:0042802, GO:0042803, GO:1990061",A
ENOF1_HUMAN,4A35,Q7L5Y1,"GO:0000287, GO:0016052, GO:0050023",A
ENOG_HUMAN,1TE6,P09104,"GO:0005829, GO:0005886, GO:0006094, GO:0016020, GO:0061621",A
ENO_MYCPN,7E2Q,P75189,GO:0005829,A
ENOPH_HUMAN,1YNS,Q9UHY7,"GO:0005829, GO:0019509, GO:0043874",A
ENOPH_YEAST,2G80,P32626,GO:0019509,A
ENO_STRP6,3ZLF,Q5XD01,"GO:0000015, GO:0004634, GO:0005886, GO:0009274",A
ENPL_CANLF,1QY8,P41148,GO:0140662,A
ENPL_HUMAN,4NH9,P14625,"GO:0001666, GO:0003723, GO:0004864, GO:0005509, GO:0005576, GO:0005783, GO:0005788, GO:0005789, GO:0005829, GO:0006457, GO:0019903, GO:0030177, GO:0030496, GO:0030970, GO:0031247, GO:0032991, GO:0034123, GO:0034975, GO:0034976, GO:0036503, GO:0043066, GO:0044183, GO:0048471, GO:0050750, GO:0071318, GO:0071682, GO:0072659, GO:0140662",A
ENPP1_HUMAN,2YS0,P22413,"GO:0004527, GO:0004528, GO:0004551, GO:0005158, GO:0005524, GO:0005615, GO:0005886, GO:0006091, GO:0006796, GO:0009143, GO:0009986, GO:0010467, GO:0016791, GO:0030282, GO:0030308, GO:0030318, GO:0030505, GO:0030643, GO:0032869, GO:0033198, GO:0042803, GO:0045599, GO:0045719, GO:0046034, GO:0046325, GO:0046627, GO:0047429, GO:0050427, GO:0050656, GO:0055062, GO:0090304, GO:0106177",A
ENPP1_MOUSE,4B56,P06802,"GO:0000902, GO:0001503, GO:0001570, GO:0001649, GO:0001822, GO:0001922, GO:0001958, GO:0002009, GO:0002021, GO:0002269, GO:0002317, GO:0002437, GO:0004528, GO:0004551, GO:0005509, GO:0005576, GO:0005615, GO:0005886, GO:0006096, GO:0006631, GO:0007005, GO:0007224, GO:0007507, GO:0007605, GO:0007628, GO:0008081, GO:0008270, GO:0008283, GO:0008340, GO:0008344, GO:0008543, GO:0009611, GO:0009986, GO:0010467, GO:0010945, GO:0010960, GO:0014004, GO:0016020, GO:0016055, GO:0016462, GO:0016791, GO:0019634, GO:0019725, GO:0021510, GO:0022010, GO:0030217, GO:0030225, GO:0030279, GO:0030282, GO:0030316, GO:0030502, GO:0030505, GO:0031103, GO:0031214, GO:0032026, GO:0032868, GO:0034505, GO:0034516, GO:0035128, GO:0035264, GO:0035630, GO:0035904, GO:0036076, GO:0036119, GO:0038065, GO:0042445, GO:0042474, GO:0042476, GO:0042593, GO:0042789, GO:0042802, GO:0042803, GO:0042832, GO:0043588, GO:0045444, GO:0045453, GO:0045599, GO:0046034, GO:0046323, GO:0046716, GO:0046849, GO:0047429, GO:0050951, GO:0050954, GO:0051216, GO:0051402, GO:0051649, GO:0055062, GO:0055074, GO:0060291, GO:0060346, GO:0060348, GO:0060350, GO:0060612, GO:0060613, GO:0060840, GO:0061975, GO:0070212, GO:0070254, GO:0070640, GO:0071344, GO:0071529, GO:0097241, GO:0097252, GO:0098868, GO:0106177, GO:0140459, GO:0140928, GO:1902742, GO:1904124, GO:1904383, GO:1904384, GO:1904738, GO:1990787, GO:1990874",A
ENPP2_HUMAN,4ZG6,Q13822,"GO:0004622, GO:0005509, GO:0005615, GO:0005886, GO:0008270, GO:0009395, GO:0010634, GO:0016787, GO:0030149, GO:0030334, GO:0034638, GO:0048870, GO:0050731, GO:2000394",A
ENPP2_MOUSE,3NKM,Q9R1E6,"GO:0004622, GO:0005509, GO:0005615, GO:0006644, GO:0008270, GO:0034638, GO:0047391",A
ENPP2_RAT,2XR9,Q64610,"GO:0001953, GO:0004528, GO:0004622, GO:0005509, GO:0005615, GO:0008270, GO:0008284, GO:0034638, GO:0044849, GO:0047391, GO:0048714, GO:0051894, GO:0060326, GO:0071276, GO:0071392, GO:1900026, GO:1903165",A
ENPP3_HUMAN,6C01,O14638,"GO:0004081, GO:0004528, GO:0005509, GO:0005886, GO:0006220, GO:0006796, GO:0008270, GO:0009143, GO:0009897, GO:0034432, GO:0046034, GO:0047429, GO:0047710, GO:0048471, GO:0106177, GO:0160049",A
ENPP3_RAT,6F2T,P97675,"GO:0004551, GO:0009986",A
ENPP4_HUMAN,4LQY,Q9Y6X5,"GO:0005886, GO:0030194, GO:0046130, GO:0047710, GO:0101003",A
ENPP5_HUMAN,5VEM,Q9UJA9,"GO:0000210, GO:0008270",A
ENPP5_MOUSE,5VEN,Q9EQG7,GO:0008270,A
ENPP6_MOUSE,5EGE,Q8BGN3,"GO:0005886, GO:0008889, GO:0019695, GO:0047390",A
ENPP7_HUMAN,5TCD,Q6UWV6,"GO:0004767, GO:0005794, GO:0005886, GO:0005902, GO:0006684, GO:0008081, GO:0008156, GO:0008270, GO:0008285, GO:0046479",A
ENT1_PLAF7,7WN0,Q8IDM6,"GO:0005337, GO:0006863, GO:0032238",A
ENT1_YEAST,5LOZ,Q12518,"GO:0000147, GO:0005769, GO:0005886, GO:0006897, GO:0007015, GO:0030276, GO:0043130, GO:0070530",A
ENT2_YEAST,4GZC,Q05785,"GO:0000147, GO:0006897, GO:0007015, GO:0036435, GO:0070530",A
ENT3_YEAST,3ONK,P47160,"GO:0005768, GO:0006895, GO:0030036, GO:0030125, GO:0030276, GO:0032266, GO:0032511, GO:0034498, GO:0071985, GO:0080025",A
ENT5_YEAST,5CMW,Q03769,"GO:0005768, GO:0006895, GO:0030125, GO:0030276, GO:0032511, GO:0034498, GO:0080025",A
ENTA_ECOLI,2FWM,P15047,"GO:0005829, GO:0008667, GO:0009239, GO:0032991, GO:0042802",X
ENTB_ECOLI,2FQ1,P0ADI4,"GO:0000287, GO:0005829, GO:0005886, GO:0008908, GO:0009239, GO:0016765, GO:0031177, GO:0042802, GO:0047527",A
ENTC_ECOLI,3HWO,P0AEJ2,"GO:0000287, GO:0008909, GO:0009239",A
ENTE_ECOLI,6IYK,P10378,"GO:0005829, GO:0008668, GO:0009239, GO:0047527",A
ENTF_ECOLI,2ROQ,P11454,"GO:0005829, GO:0005886, GO:0009239, GO:0009366, GO:0016779, GO:0031177, GO:0043041, GO:0047527",A
ENTH_ECOLI,1VH9,P0A8Y8,"GO:0005829, GO:0009239, GO:0016289, GO:0016788, GO:0016790, GO:0042802",A
ENTK_BOVIN,1EKB,P98072,"GO:0016020, GO:0032023, GO:0044256",A
ENTK_HUMAN,4DGJ,P98073,GO:0005903,A
ENTM_BACFG,8H3X,P54355,GO:0141139,C
ENTP1_RAT,3ZX0,P97687,"GO:0005615, GO:0008021, GO:0009986, GO:0010238, GO:0010332, GO:0010996, GO:0016323, GO:0016887, GO:0017110, GO:0017111, GO:0031000, GO:0032496, GO:0033198, GO:0033602, GO:0035457, GO:0042802, GO:0043025, GO:0043262, GO:0071222, GO:0071275, GO:0071356, GO:0097060, GO:1903576, GO:2001170",A
ENTP2_RAT,3CJ1,O35795,"GO:0004050, GO:0009203, GO:0009986, GO:0010996, GO:0016887, GO:0031253, GO:0035457, GO:0042802, GO:0043262, GO:0044297, GO:0071222, GO:0071354, GO:0071356",A
ENTP4_HUMAN,6WG5,Q9Y227,"GO:0000139, GO:0000421, GO:0004382, GO:0006256, GO:0017110, GO:0017111, GO:0034656, GO:0036384, GO:0043273, GO:0045134, GO:0046036, GO:0046712",A
ENVC_ECOLI,4BH5,P37690,"GO:0000920, GO:0005886, GO:0009273, GO:0009314, GO:0009410, GO:0016787, GO:0030288, GO:0032153, GO:0042597",A
ENV_HV1B1,2ARI,P03375,"GO:0042609, GO:0044220, GO:0044538, GO:0044877",A
ENV_HV1B9,5U3K,Q73372,GO:0141117,C
ENV_HV1H2,1AIK,P04578,"GO:0007015, GO:0020002, GO:0042783, GO:0046718, GO:0048018, GO:1903905, GO:1903908, GO:1903911",C
ENV_HV1JR,1CE4,P20871,GO:0030307,A
ENV_HV1MN,1GGI,P05877,GO:0042802,P
ENV_MLVMS,1MOF,P03385,GO:0042802,A
ENVZ_ECOLI,1BXD,P0AEJ4,"GO:0000155, GO:0000160, GO:0004721, GO:0005829, GO:0005886, GO:0006970, GO:0007165, GO:0030288, GO:0042802, GO:0042803, GO:0046777",A
ENY2_HUMAN,4DHX,Q9NPA8,"GO:0000124, GO:0003713, GO:0005654, GO:0005739, GO:0006357, GO:0016973, GO:0044615, GO:0045893, GO:0070390, GO:0071819",B
EOLA1_HUMAN,5Y7D,Q8TE69,"GO:0010468, GO:0032675",A
EP300_HUMAN,1P4Q,Q09472,"GO:0000122, GO:0000785, GO:0001221, GO:0001223, GO:0001666, GO:0002223, GO:0003677, GO:0003682, GO:0003684, GO:0003713, GO:0004402, GO:0004468, GO:0005634, GO:0005654, GO:0005737, GO:0005829, GO:0006110, GO:0006473, GO:0006475, GO:0006915, GO:0007249, GO:0007399, GO:0008013, GO:0010484, GO:0010485, GO:0010506, GO:0010507, GO:0010976, GO:0016407, GO:0016746, GO:0016922, GO:0018076, GO:0018393, GO:0030511, GO:0031333, GO:0031648, GO:0031669, GO:0032460, GO:0034644, GO:0042307, GO:0042771, GO:0043627, GO:0043923, GO:0043993, GO:0044013, GO:0044017, GO:0045721, GO:0045815, GO:0045893, GO:0045944, GO:0046427, GO:0050681, GO:0051059, GO:0051091, GO:0060070, GO:0060765, GO:0061629, GO:0061733, GO:0061920, GO:0061921, GO:0071233, GO:0090043, GO:0097677, GO:0120301, GO:0140033, GO:0140065, GO:0140066, GO:0140067, GO:0140068, GO:0140230, GO:0140297, GO:0140861, GO:0140908, GO:0160263, GO:1900034, GO:1901796, GO:1902340, GO:1904263, GO:1904515, GO:2000330",B
EP400_HUMAN,8QRI,Q96L91,"GO:0000786, GO:0000812, GO:0005654, GO:0035267, GO:0051726, GO:1905168",A
EPA2B_XENLA,2JWN,Q6TY21,"GO:0005737, GO:0008143",A
